,review,star
0,i don t really care for the iphone    i don t like how are you talking to the phone compared to the iphone   i had  i am pleased that it didn t work with my provider  i did not like the big plastic screen protector camera because it is hard for the phone two read your swipe s  it shipped immediately as soon as you bumped it on anything  every single corner has chipped off of the thick plastic screen protector  i cared more about the memory and it being an iphone so i settled for this iphone    i am disappointed and wish i could ve gotten a newer version  but everything was on time and well packaged  and the other thing is the charging cord actually already broke end it felt to feet from my table to the carpet and snapped right off inside the phone  the card also kept reading on the iphone that it wasn t an apple product and would stop charging  those are minor things  but just thought i d give you a full review  and sorry to the seller who actually out the first few days  he did deliver what he promised  for the most part,4
1,i bought this as a trap phone since my parents took my other one and i was so worried that the phone was gonna be trashy because i looked through the reviews a little more after i bought it  on top of that i bought it at acceptable condition  but it s perfectly fine in the box   invoice sheets  an amazon renewed card    charger with a base  both working   and the phone wrapped in this hard inflated plastic stuff  kinda like bubble wrap but way safer  outside of the phone   veryy minor scratches on the screen that aren t noticeable unless i hold it at an angle and stare really hard  minor white scratches on the edges  a little dust dirt in the speaker and screws but not enough to be an actual problemafter turning it on   powered on like any regular brand new iphone     charged     battery capacity  touch id  home button  and all side buttons working  yes including the silence switch   cameras as good as they can get for an iphone   lol  good brightness  speakers working   isn t muffled  microphone working   isn t muffled  flashlight working  charging port working  location tracking  wi fi connecting  and bluetooth working   obviously  no sim card  but came with the holder for it  no screen glitching ghost tapping  i was so worried about this for some reason   came with ios       so i had to update it something that could be an issue for someone is that it says the carrier is  boost mobile      it isn t locked to it but says that   added a pic  i already use boost mobile  so it isn t much of a concern for me only issue is that i can t use my service  i went to my service providers site  same as what was listed as the carrier  boost mobile  and tried to swap the phones from my other one to this one  i ve done this before  it said  this device is not eligible to swap  i m not sure if it s an issue with the phone itself or my service provider  but that s the only issue i have  nice trap backup phone for     tax included ,4
2,i’ve had this phone for about two weeks now  when i received it  there were minor scratches on it  as stated in the description  no issue with that    the battery was at     and the buttons worked properly  after using it for these past two weeks  i havent noticed any issues  it came clean and with a charger and the power cube  not apple ones  just normal ones  all in all  i recommend getting this if you need or want a new  or should i say old  phone  read the description for the quality of the phone you’ll be receiving and understand that it’s cheap for a reason so dont be mad when there’s a scratch on your used phone,5
3,old out of date phone  but it gets the job done and then some   worth the money if you got a sim card and want to maintain phone number and other information while you look for that next gotta have phone  found a few small non important glitches in functionality cleared them up and operating systems all check out,4
4,broke my iphone   i had for   years  did not want to go back to android  so i decided to search amazon   came across the amazon renewed store and found an iphone i could afford   iphone   for less than      ok    ordered late morning on     and it was on my doorstep by   pm       not even   hours later    unlocked and in brand new condition   thank you so much   will definitely be back   and have been telling everyone about the renewed store on amazon  ,5
5, refreshed  is the new term for  pre owned   or  refurbished   and if you don t need bragging rights for owning the latest and greatest high tech device  this model of iphone   might just fit the bill  compared to the whopping prices demanded for the latest versions of the iphone  while these are not cheap  they are certainly much more affordable  and these iphones can perform the majority of the fancy stunts of the latest iphones with a few differences  including having to make do with    rather than   network speeds when it becomes widespread the two iphone   s we purchased arrived in good condition  one with a few minor screen scratches that we can live with  otherwise both intact and usable in every way  including with batteries that charged in the   percentile  health  status  the phones are unlocked and the two we received will work with both sim cards on gsm  or on  non sim card  cdma networks  we used the sim cards from our old phones using the  speed talk   t mobile  network  these sim cards came from cellular plans we bought from speed talk on amazon  and once the sim cards were inserted  the phones worked perfectly as of april    the iphone   supports the latest ios operating system updates  and hopefully will remain on apple s  security update  list for a number of years to come our experience with the two iphone   s   used in conjunction with a late model apple ipad   has us agreeing that apple has created an excellent interlocking system for personal communications  which explains the popularity of the iphone and its cousin  the ipad it is worth mentioning that the function of  icloud    apple s server farms  which serves as a continuous  free for five gigabytes of space  backup system for your  i  devices  also works as a means to share notes  photos  email  calendars  and contact lists and can be accessed online using a web browser from any computer  no matter what the operating system  appointments and contact information can also be added or modified while accessing the  icloud  account from a web browser  adding a great deal of functionality to the ios communications system  absent from web browser access is the ios  message  presence  apparently because apple does not want this popular message application being used or accessed on anything but  i  devices the iphone   s were simply but sturdily packaged with a  lightning  charging cable and a standard usb to   ac adapter enclosed  also  a tiny  sim card holder  release tool was in the box  with a short prong about the diameter of a paper clip that will release the sim card holder so you can insert your own micro sim card into side of the iphone  there was a walk through brochure enclosed of how to charge and power up the iphone  but if you are new to the methods of using one of these devices  you might want to visit youtube where there are lots of videos about using iphones  we had never owned  smart phones  before  but we picked up the skill set easily without too much trouble or much of a learning curve   going through the multiple settings and options takes some time and thought  but that can be done at your leisure  with cellular networks turning off   and earlier network connection configurations  the iphones were a good choice  with ios  message  and  facetime  options  as well as our use of a voip system that works through both the iphone cellular and wireless network  allowing us to save on cellular minutes by using wifi for sending and receiving phone calls the  refreshed  iphones work well and we find they are quite handy  though we have  to date  refrained from the habit we see everywhere of people quickly pulling out their smart phone at every opportunity and waving it around in front of their face  if we ever reach that point of insane phone mania  we ll have to go back to using a taut string with two tin cans for our communications ,5
6,i don’t jump to the newest phones whenever they come out  i had an iphone   for years  my wife got me an apple watch for christmas and it only worked with an iphone   or above  so i needed to upgrade to a iphone    didn’t want to pay full price of these phones  so i checked into a renewed one  the watch i got was also renewed and in very good shape  so i decided to try with a renewed phone  again  very satisfied with my purchase  a few minor scratches on the back of the phone  but once put into a case  can’t be seen  phone works great  no issues  and more importantly  works with my watch  my watch and this phone has made me a believer in buying renewed products  couldn’t be happier ,4
7,ordered the phone yesterday    so we got our phone and turned it on the battery didn’t have much juice in it so we had to charge it no big deal  it took all of   minutes maybe to switch everything over to mint mobile the phone pretty much did all the work we didn’t have to do much of anything  the phone works great very happy with the purchase it looks like brand new and i don’t know if they do this to all the phones but it had a screen protector already on it which was awesome because i had ordered some of those very happy with the purchase i highly suggest ordering ,5
8,i recently gave this seller a bad review and now am obligated to apologize   i couldn t set up the phone when i got it so i contacted a local apple store for help   long story short they basically told me it wasn t useable and obviously offered me no help   but i later found out from apple directly that it could have been fixed regardless of what the store employee made me to believe and they should have been able to help me with it ,5
9,no issues whit the iphone  bought as a gift and it’s been working well for the recipient  came clean  no noticeable scratches ,5
